question,answer,category,day
「～である」は英語で？,be,動詞,1
「持っている」は英語で？,have,動詞,1
「行く」は英語で？,go,動詞,1
「来る」は英語で？,come,動詞,1
「見る」は英語で？,see,動詞,1
「食べる」は英語で？,eat,動詞,2
「飲む」は英語で？,drink,動詞,2
「する・遊ぶ」は英語で？,play,動詞,2
「勉強する」は英語で？,study,動詞,2
「読む」は英語で？,read,動詞,2
「書く」は英語で？,write,動詞,3
「聞く」は英語で？,listen,動詞,3
「話す」は英語で？,speak,動詞,3
「見る（映像）」は英語で？,watch,動詞,3
「作る」は英語で？,make,動詞,3
「取る」は英語で？,take,動詞,4
「与える」は英語で？,give,動詞,4
「得る」は英語で？,get,動詞,4
「買う」は英語で？,buy,動詞,4
「使う」は英語で？,use,動詞,4
「知っている」は英語で？,know,動詞,5
「思う」は英語で？,think,動詞,5
「欲しい」は英語で？,want,動詞,5
「好き」は英語で？,like,動詞,5
「必要とする」は英語で？,need,動詞,5
「助ける」は英語で？,help,動詞,6
「住む」は英語で？,live,動詞,6
「働く」は英語で？,work,動詞,6
「始める」は英語で？,start,動詞,6
「終える」は英語で？,finish,動詞,6
「開ける」は英語で？,open,動詞,7
「閉める」は英語で？,close,動詞,7
「電話する」は英語で？,call,動詞,7
「尋ねる」は英語で？,ask,動詞,7
「答える」は英語で？,answer,動詞,7
「歩く」は英語で？,walk,動詞,8
「走る」は英語で？,run,動詞,8
「泳ぐ」は英語で？,swim,動詞,8
「歌う」は英語で？,sing,動詞,8
「踊る」は英語で？,dance,動詞,8
「座る」は英語で？,sit,動詞,9
「立つ」は英語で？,stand,動詞,9
「寝る」は英語で？,sleep,動詞,9
「起きる」は英語で？,wake,動詞,9
「待つ」は英語で？,wait,動詞,9
「送る」は英語で？,send,動詞,10
「受け取る」は英語で？,receive,動詞,10
「見せる」は英語で？,show,動詞,10
「教える」は英語で？,teach,動詞,10
「学ぶ」は英語で？,learn,動詞,10
「家」は英語で？,house,名詞,11
「学校」は英語で？,school,名詞,11
「友達」は英語で？,friend,名詞,11
「先生」は英語で？,teacher,名詞,11
「学生」は英語で？,student,名詞,11
「家族」は英語で？,family,名詞,12
「父」は英語で？,father,名詞,12
「母」は英語で？,mother,名詞,12
「兄弟」は英語で？,brother,名詞,12
「姉妹」は英語で？,sister,名詞,12
「本」は英語で？,book,名詞,13
「机」は英語で？,desk,名詞,13
「いす」は英語で？,chair,名詞,13
「部屋」は英語で？,room,名詞,13
「ドア」は英語で？,door,名詞,13
「窓」は英語で？,window,名詞,14
「町」は英語で？,town,名詞,14
「市」は英語で？,city,名詞,14
「国」は英語で？,country,名詞,14
「世界」は英語で？,world,名詞,14
「時間」は英語で？,time,名詞,15
「日」は英語で？,day,名詞,15
「週」は英語で？,week,名詞,15
「月」は英語で？,month,名詞,15
「年」は英語で？,year,名詞,15
「朝」は英語で？,morning,名詞,16
「午後」は英語で？,afternoon,名詞,16
「夜」は英語で？,night,名詞,16
「今日」は英語で？,today,名詞,16
「明日」は英語で？,tomorrow,名詞,16
「昨日」は英語で？,yesterday,名詞,17
「水」は英語で？,water,名詞,17
「食べ物」は英語で？,food,名詞,17
「朝食」は英語で？,breakfast,名詞,17
「昼食」は英語で？,lunch,名詞,17
「夕食」は英語で？,dinner,名詞,18
「りんご」は英語で？,apple,名詞,18
「犬」は英語で？,dog,名詞,18
「猫」は英語で？,cat,名詞,18
「鳥」は英語で？,bird,名詞,18
「魚」は英語で？,fish,名詞,19
「木」は英語で？,tree,名詞,19
「花」は英語で？,flower,名詞,19
「川」は英語で？,river,名詞,19
「山」は英語で？,mountain,名詞,19
「海」は英語で？,sea,名詞,20
「空」は英語で？,sky,名詞,20
「雨」は英語で？,rain,名詞,20
「雪」は英語で？,snow,名詞,20
「風」は英語で？,wind,名詞,20
「大きい」は英語で？,big,形容詞,21
「小さい」は英語で？,small,形容詞,21
「新しい」は英語で？,new,形容詞,21
「古い」は英語で？,old,形容詞,21
「良い」は英語で？,good,形容詞,21
「悪い」は英語で？,bad,形容詞,22
「早い」は英語で？,early,形容詞,22
「遅い」は英語で？,late,形容詞,22
「速い」は英語で？,fast,形容詞,22
「遅い」は英語で？,slow,形容詞,22
「長い」は英語で？,long,形容詞,23
「短い」は英語で？,short,形容詞,23
「高い」は英語で？,high,形容詞,23
「低い」は英語で？,low,形容詞,23
「暑い」は英語で？,hot,形容詞,23
「寒い」は英語で？,cold,形容詞,24
「暖かい」は英語で？,warm,形容詞,24
「涼しい」は英語で？,cool,形容詞,24
「幸せな」は英語で？,happy,形容詞,24
「悲しい」は英語で？,sad,形容詞,24
「忙しい」は英語で？,busy,形容詞,25
「簡単な」は英語で？,easy,形容詞,25
「難しい」は英語で？,difficult,形容詞,25
「強い」は英語で？,strong,形容詞,25
「弱い」は英語で？,weak,形容詞,25
「美しい」は英語で？,beautiful,形容詞,26
「親切な」は英語で？,kind,形容詞,26
「重要な」は英語で？,important,形容詞,26
「有名な」は英語で？,famous,形容詞,26
「面白い」は英語で？,interesting,形容詞,26
「静かな」は英語で？,quiet,形容詞,27
「うるさい」は英語で？,noisy,形容詞,27
「安全な」は英語で？,safe,形容詞,27
「危険な」は英語で？,dangerous,形容詞,27
「健康な」は英語で？,healthy,形容詞,27
「いつも」は英語で？,always,副詞,28
「たいてい」は英語で？,usually,副詞,28
「しばしば」は英語で？,often,副詞,28
「時々」は英語で？,sometimes,副詞,28
「決して～ない」は英語で？,never,副詞,28
「ここ」は英語で？,here,副詞,29
「そこ」は英語で？,there,副詞,29
「今」は英語で？,now,副詞,29
「すぐに」は英語で？,soon,副詞,29
「一緒に」は英語で？,together,副詞,29
「とても」は英語で？,very,副詞,30
「よく」は英語で？,well,副詞,30
「ゆっくり」は英語で？,slowly,副詞,30
「早く」は英語で？,quickly,副詞,30
「外で」は英語で？,outside,副詞,30
「～である」は英語で？,be,動詞,31
「持っている」は英語で？,have,動詞,31
「行く」は英語で？,go,動詞,31
「来る」は英語で？,come,動詞,31
「見る」は英語で？,see,動詞,31
「食べる」は英語で？,eat,動詞,32
「飲む」は英語で？,drink,動詞,32
「する・遊ぶ」は英語で？,play,動詞,32
「勉強する」は英語で？,study,動詞,32
「読む」は英語で？,read,動詞,32
「書く」は英語で？,write,動詞,33
「聞く」は英語で？,listen,動詞,33
「話す」は英語で？,speak,動詞,33
「見る（映像）」は英語で？,watch,動詞,33
「作る」は英語で？,make,動詞,33
「取る」は英語で？,take,動詞,34
「与える」は英語で？,give,動詞,34
「得る」は英語で？,get,動詞,34
「買う」は英語で？,buy,動詞,34
「使う」は英語で？,use,動詞,34
「知っている」は英語で？,know,動詞,35
「思う」は英語で？,think,動詞,35
「欲しい」は英語で？,want,動詞,35
「好き」は英語で？,like,動詞,35
「必要とする」は英語で？,need,動詞,35
「助ける」は英語で？,help,動詞,36
「住む」は英語で？,live,動詞,36
「働く」は英語で？,work,動詞,36
「始める」は英語で？,start,動詞,36
「終える」は英語で？,finish,動詞,36
「開ける」は英語で？,open,動詞,37
「閉める」は英語で？,close,動詞,37
「電話する」は英語で？,call,動詞,37
「尋ねる」は英語で？,ask,動詞,37
「答える」は英語で？,answer,動詞,37
「歩く」は英語で？,walk,動詞,38
「走る」は英語で？,run,動詞,38
「泳ぐ」は英語で？,swim,動詞,38
「歌う」は英語で？,sing,動詞,38
「踊る」は英語で？,dance,動詞,38
「座る」は英語で？,sit,動詞,39
「立つ」は英語で？,stand,動詞,39
「寝る」は英語で？,sleep,動詞,39
「起きる」は英語で？,wake,動詞,39
「待つ」は英語で？,wait,動詞,39
「送る」は英語で？,send,動詞,40
「受け取る」は英語で？,receive,動詞,40
「見せる」は英語で？,show,動詞,40
「教える」は英語で？,teach,動詞,40
「学ぶ」は英語で？,learn,動詞,40
「家」は英語で？,house,名詞,41
「学校」は英語で？,school,名詞,41
「友達」は英語で？,friend,名詞,41
「先生」は英語で？,teacher,名詞,41
「学生」は英語で？,student,名詞,41
「家族」は英語で？,family,名詞,42
「父」は英語で？,father,名詞,42
「母」は英語で？,mother,名詞,42
「兄弟」は英語で？,brother,名詞,42
「姉妹」は英語で？,sister,名詞,42
「本」は英語で？,book,名詞,43
「机」は英語で？,desk,名詞,43
「いす」は英語で？,chair,名詞,43
「部屋」は英語で？,room,名詞,43
「ドア」は英語で？,door,名詞,43
「窓」は英語で？,window,名詞,44
「町」は英語で？,town,名詞,44
「市」は英語で？,city,名詞,44
「国」は英語で？,country,名詞,44
「世界」は英語で？,world,名詞,44
「時間」は英語で？,time,名詞,45
「日」は英語で？,day,名詞,45
「週」は英語で？,week,名詞,45
「月」は英語で？,month,名詞,45
「年」は英語で？,year,名詞,45
「朝」は英語で？,morning,名詞,46
「午後」は英語で？,afternoon,名詞,46
「夜」は英語で？,night,名詞,46
「今日」は英語で？,today,名詞,46
「明日」は英語で？,tomorrow,名詞,46
「昨日」は英語で？,yesterday,名詞,47
「水」は英語で？,water,名詞,47
「食べ物」は英語で？,food,名詞,47
「朝食」は英語で？,breakfast,名詞,47
「昼食」は英語で？,lunch,名詞,47
「夕食」は英語で？,dinner,名詞,48
「りんご」は英語で？,apple,名詞,48
「犬」は英語で？,dog,名詞,48
「猫」は英語で？,cat,名詞,48
「鳥」は英語で？,bird,名詞,48
「魚」は英語で？,fish,名詞,49
「木」は英語で？,tree,名詞,49
「花」は英語で？,flower,名詞,49
「川」は英語で？,river,名詞,49
「山」は英語で？,mountain,名詞,49
「海」は英語で？,sea,名詞,50
「空」は英語で？,sky,名詞,50
「雨」は英語で？,rain,名詞,50
「雪」は英語で？,snow,名詞,50
「風」は英語で？,wind,名詞,50
「大きい」は英語で？,big,形容詞,51
「小さい」は英語で？,small,形容詞,51
「新しい」は英語で？,new,形容詞,51
「古い」は英語で？,old,形容詞,51
「良い」は英語で？,good,形容詞,51
「悪い」は英語で？,bad,形容詞,52
「早い」は英語で？,early,形容詞,52
「遅い」は英語で？,late,形容詞,52
「速い」は英語で？,fast,形容詞,52
「遅い」は英語で？,slow,形容詞,52
「長い」は英語で？,long,形容詞,53
「短い」は英語で？,short,形容詞,53
「高い」は英語で？,high,形容詞,53
「低い」は英語で？,low,形容詞,53
「暑い」は英語で？,hot,形容詞,53
「寒い」は英語で？,cold,形容詞,54
「暖かい」は英語で？,warm,形容詞,54
「涼しい」は英語で？,cool,形容詞,54
「幸せな」は英語で？,happy,形容詞,54
「悲しい」は英語で？,sad,形容詞,54
「忙しい」は英語で？,busy,形容詞,55
「簡単な」は英語で？,easy,形容詞,55
「難しい」は英語で？,difficult,形容詞,55
「強い」は英語で？,strong,形容詞,55
「弱い」は英語で？,weak,形容詞,55
「美しい」は英語で？,beautiful,形容詞,56
「親切な」は英語で？,kind,形容詞,56
「重要な」は英語で？,important,形容詞,56
「有名な」は英語で？,famous,形容詞,56
「面白い」は英語で？,interesting,形容詞,56
「静かな」は英語で？,quiet,形容詞,57
「うるさい」は英語で？,noisy,形容詞,57
「安全な」は英語で？,safe,形容詞,57
「危険な」は英語で？,dangerous,形容詞,57
「健康な」は英語で？,healthy,形容詞,57
「いつも」は英語で？,always,副詞,58
「たいてい」は英語で？,usually,副詞,58
「しばしば」は英語で？,often,副詞,58
「時々」は英語で？,sometimes,副詞,58
「決して～ない」は英語で？,never,副詞,58
「ここ」は英語で？,here,副詞,59
「そこ」は英語で？,there,副詞,59
「今」は英語で？,now,副詞,59
「すぐに」は英語で？,soon,副詞,59
「一緒に」は英語で？,together,副詞,59
「とても」は英語で？,very,副詞,60
「よく」は英語で？,well,副詞,60
「ゆっくり」は英語で？,slowly,副詞,60
「早く」は英語で？,quickly,副詞,60
「外で」は英語で？,outside,副詞,60
