question,answer

水素の元素記号は？,H
酸素の元素記号は？,O
炭素の元素記号は？,C
窒素の元素記号は？,N
塩素の元素記号は？,Cl
硫黄の元素記号は？,S
ナトリウムの元素記号は？,Na
銅の元素記号は？,Cu
鉄の元素記号は？,Fe
銀の元素記号は？,Ag
ヘリウムの元素記号は？,He
ネオンの元素記号は？,Ne
アルミニウムの元素記号は？,Al
ケイ素の元素記号は？,Si
リンの元素記号は？,P
カリウムの元素記号は？,K
カルシウムの元素記号は？,Ca
亜鉛の元素記号は？,Zn
バリウムの元素記号は？,Ba
マグネシウムの元素記号は？,Mg

元素記号H,水素
元素記号O,酸素
元素記号C,炭素
元素記号N,窒素
元素記号Cl,塩素
元素記号S,硫黄
元素記号Na,ナトリウム
元素記号Cu,銅
元素記号Fe,鉄
元素記号Ag,銀
元素記号He,ヘリウム
元素記号Ne,ネオン
元素記号Al,アルミニウム
元素記号Si,ケイ素
元素記号P,リン
元素記号K,カリウム
元素記号Ca,カルシウム
元素記号Zn,亜鉛
元素記号Ba,バリウム
元素記号Mg,マグネシウム}