図で、炭酸水素ナトリウムを加熱する時は、発生した液体が試験管の底の方に流れないようにするため、試験管の口をどのようにして加熱するか？,底よりわずかに下げる,rika-001.png
図で、加熱をやめるときは、危険防止の為、ガスバーナーの火を消す前にどのように操作をするのか？,Aガラス管を水の中から出す,rika-001.png
②-aで、石灰水はどうなるか？,白くにごる,rika-002.png
②-bで、火のついた線香はどうなるか？,火が消える,rika-002.png
③で、青色の塩化コバルト紙は何色になるか？,桃色,rika-003.png
④で、加熱後の物資の水の溶け方は、炭酸水素ナトリウムと比べてどのようであった？,よくとけた,rika-004.png
④で、水溶液にフェノールフタレイン溶液を加えたとき、濃い赤色になったのは、炭酸水素ナトリウム、加熱後の物質どちらだ？,加熱後の物質,rika-004.png
②より、発生した気体は何であると考えられるか？,二酸化炭素,rika-002.png
③より、加熱した試験管の内側についた液体は何と考えられるか？,水,rika-002.png
④より、加熱後の物質は、炭酸水素ナトリウムと同じ物質か、別の物質か？,別の物質,rika-004.png
加熱後に、試験管に残った白い物質は何か？,炭酸ナトリウム
この実験から、炭酸水素ナトリウムを加熱すると何種類の物質に分かれるか、ア：1種類　イ：２種類　ウ：３種類　エ：４種類？,ウ
酸化銀を加熱してできる個体と気体は何か、それぞれ答えよ。個体は？,銀,rika-005.png
酸化銀を加熱してできる個体と気体は何か、それぞれ答えよ。気体は？,酸素,rika-005.png
≪重要問題≫もとの物質とは違う物質ができる変化を何と言うか？,化学変化
≪重要問題≫１種類の物質が２種類以上の物質に分かれる化学変化を何と言うか？,分解
≪重要問題≫加熱による分解を何と言うか？,熱分解
①では、水酸化ナトリウムを少量とかした水に電流を流す。純粋な水を使わないのはなぜか？,電流がほとんど流れないから,rika-006.png
気体の集まり方を比べた時、気体がより多く集まったのは、陰極側・陽極側どっちや？,陰極側,rika-006.png
③で、火の点いたマッチを近づけると、どのような変化が見られるか？,気体が音を立てて燃える,rika-007.png
④で、火の点いた線香を入れると、どのような変化が見られるか？,線香が激しく燃える,rika-008.png
③で、陰極に発生した気体は何であると考えられるか。？,水素,rika-007.png
④で、陽極に発生した気体は何であると考えられるか。？,酸素,rika-008.png
水に電流を流すと、２種類の物質に分解される。何と何か？,水素と酸素
≪重要問題≫この実験のように、物質に電流を流して分解する事を何と言うか？,電気分解